Title,Imdb,Runtime,Year,Director,Platform,Genre
Time Trap,6.2,1h 27min,2017,Mark Dennis,Netflix,"Science-Fiction, Action & Adventure"
The Snowman,5.1,1h 59min,2017,Tomas Alfredson,Netflix,"Mystery & Thriller, Crime, Drama, Made in Europe"
Prisoners,8.1,2h 26min,2013,Denis Villeneuve,Netflix,"Mystery & Thriller, Drama, Crime"
Bullet Train,7.3,2h 6min,2022,David Leitch,Netflix,"Action & Adventure, Comedy, Mystery & Thriller"
The Ballad of Buster Scruggs,7.3,2h 12min,2018,Joel Coen,Netflix,"Drama, Western, Comedy, Romance"
I See You,6.8,1h 36min,2019,Adam Randall,Netflix,"Mystery & Thriller, Crime, Drama, Horror"
Glass Onion: A Knives Out Mystery,7.2,2h 19min,2022,Rian Johnson,Netflix,"Comedy, Drama, Mystery & Thriller, Crime"
The Gentlemen,7.8,1h 53min,2020,Guy Ritchie,Netflix,"Comedy, Action & Adventure, Crime"
Emily the Criminal,6.7,1h 37min,2022,John Patton Ford,Netflix,"Drama, Mystery & Thriller, Crime"
All Quiet on the Western Front,7.8,2h 27min,2022,Edward Berger,Netflix,"Drama, Action & Adventure, War & Military, History"
The Mustang,6.8,1h 36min,2019,Laure de Clermont-Tonnerre,Netflix,"Drama, Made in Europe"
The Nice Guys,7.3,1h 56min,2016,Shane Black,Netflix,"Comedy, Romance, Drama, Crime, Mystery & Thriller, Action & Adventure"
The Platform,7.0,1h 35min,2019,Galder Gaztelu-Urrutia,Netflix,"Drama, Mystery & Thriller, Horror, Science-Fiction, Made in Europe"
RRR,7.9,3h 6min,2022,S. S. Rajamouli,Netflix,"Action & Adventure, Drama"
The Last Stand,6.3,1h 47min,2013,Kim Jee-woon,Netflix,"Mystery & Thriller, Action & Adventure, Western, Made in Europe"
The Woman King,6.8,2h 15min,2022,Gina Prince-Bythewood,Netflix,"Drama, Action & Adventure, History"
The Gray Man,6.5,2h 8min,2022,Joe Russo,Netflix,"Action & Adventure, Mystery & Thriller"
Uncharted,6.3,1h 56min,2022,Ruben Fleischer,Netflix,Action & Adventure
Blonde,5.5,2h 47min,2022,Andrew Dominik,Netflix,"Drama, Romance, Mystery & Thriller"
Where the Crawdads Sing,7.2,2h 5min,2022,Olivia Newman,Netflix,"Drama, Mystery & Thriller, Romance"
This Is Where I Leave You,6.6,1h 43min,2014,Shawn Levy,Netflix,"Comedy, Drama"
Nocturnal Animals,7.5,1h 55min,2016,Tom Ford,Netflix,"Mystery & Thriller, Drama"
Holy Spider,7.3,1h 56min,2022,Ali Abbasi,Netflix,"Mystery & Thriller, Drama, Crime"
American Hustle,7.2,2h 18min,2013,David O. Russell,Netflix,"Drama, Crime"
World War Z,7.0,1h 56min,2013,Marc Forster,Netflix,"Mystery & Thriller, Drama, Horror, Science-Fiction, Action & Adventure"
Guillermo del Toro's Pinocchio,7.6,1h 54min,2022,Guillermo del Toro,Netflix,"Drama, Music & Musical, Animation, Fantasy, Kids & Family"
"2,215",7.7,1h 30min,2018,Nottapon Boonprakob,Netflix,Documentary
The Pale Blue Eye,6.6,2h 8min,2022,Scott Cooper,Netflix,"Crime, Horror, Mystery & Thriller"
Slumberland,6.7,1h 57min,2022,Francis Lawrence,Netflix,"Fantasy, Science-Fiction, Comedy, Drama, Kids & Family"
Morbius,5.2,1h 45min,2022,Daniel Espinosa,Netflix,"Fantasy, Action & Adventure, Science-Fiction, Drama, Horror, Mystery & Thriller"
La La Land,8.0,2h 6min,2016,Damien Chazelle,Netflix,"Drama, Comedy, Music & Musical, Romance"
Sing 2,7.4,1h 50min,2021,Garth Jennings,Netflix,"Kids & Family, Animation, Comedy, Drama, Fantasy, Music & Musical"
Burnt,6.6,1h 41min,2015,John Wells,Netflix,"Drama, Comedy"
"Lyle, Lyle, Crocodile",6.1,1h 46min,2022,Josh Gordon,Netflix,"Animation, Comedy, Kids & Family, Fantasy"
White Noise,5.7,2h 16min,2022,Noah Baumbach,Netflix,"Comedy, Drama, Horror, Science-Fiction"
Enola Holmes 2,6.7,2h 9min,2022,Harry Bradbeer,Netflix,"Comedy, Drama, Action & Adventure, Crime"
It Follows,6.8,1h 41min,2014,David Robert Mitchell,Netflix,"Horror, Mystery & Thriller"
Don't Look Up,7.2,2h 18min,2021,Adam McKay,Netflix,"Science-Fiction, Comedy, Drama"
The Stranger,6.6,1h 57min,2022,Thomas M. Wright,Netflix,"Mystery & Thriller, Crime, Drama"
The Age of Adaline,7.2,1h 50min,2015,Lee Toland Krieger,Netflix,"Drama, Romance, Fantasy"
Minions: The Rise of Gru,6.5,1h 30min,2022,Kyle Balda,Netflix,"Comedy, Animation, Crime, Kids & Family, Science-Fiction, Action & Adventure, Fantasy"
The Invitation,5.3,1h 45min,2022,Jessica M. Thompson,Netflix,"Horror, Mystery & Thriller"
Call Me by Your Name,7.9,2h 12min,2017,Luca Guadagnino,Netflix,"Drama, Romance, Made in Europe"
On the Fringe,6.7,1h 43min,2022,Juan Diego Botto,Netflix,Drama
Veve,6.5,1h 30min,2014,Simon Mukali,Netflix,Drama
